Sample ID;1D_11;1D_12;1D_13;1D_14;1W_10;1W_7;1W_8;1W_9;2D_19;2D_20;2D_21;2D_22;2W_15;2W_16;2W_17;2W_18;3D_27;3D_28;3D_29;3D_30;3W_23;3W_24;3W_25;3W_26;4D_35;4D_36;4D_37;4D_38;4W_31;4W_32;4W_33;4W_34;5D_43;5D_44;5D_45;5D_46;5W_39;5W_40;5W_41;5W_42;6D_51;6D_52;6D_53;6D_54;6W_47;6W_48;6W_49;6W_50;7D_59;7D_60;7D_61;7D_62;7W_55;7W_56;7W_57;7W_58;8D_67;8D_68;8D_69;8D_70;8W_63;8W_64;8W_65;8W_66;9D_75;9D_76;9D_77;9D_78;9W_71;9W_72;9W_73;9W_74;10D_83;10D_84;10D_85;10D_86;10W_79;10W_80;10W_81;10W_82;11D_91;11D_92;11D_93;11D_94;11W_87;11W_88;11W_89;11W_90;12D_100;12D_101;12D_102;12D_99;12W_95;12W_96;12W_97;12W_98;13D_107;13D_108;13D_109;13D_110;13W_103;13W_104;13W_105;13W_106
Treatment;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered
Gly;0000;0081;0142;0085;0107;0208;0128;0113;0226;0252;0188;0549;0317;0339;0285;0585;0088;0113;0114;0067;0111;0085;0086;0040;0093;0123;0065;0063;0068;0087;0104;0126;0096;0058;0061;0145;0045;0111;0069;0055;0023;0049;0046;0074;0035;0087;0083;0052;0047;0019;0034;0074;0070;0072;0096;0044;0065;0081;0039;0058;0072;0065;0090;0035;0052;0046;0057;0061;0095;0029;0061;0158;0025;0022;0097;0036;0037;0098;0061;0058;0041;0020;0055;0026;0044;0066;0055;0108;0104;0033;0072;#VALUE!;#DIV/0!;0159;0049;0114;0009;0009;0011;0007;0064;0057;0024;0056
Gln;15994;195635;263624;206895;224681;270014;189594;295388;146946;146604;121143;267952;212437;225651;140462;338477;203779;211937;193044;107442;170217;162973;197668;183263;207806;284801;154950;178222;139870;174460;148339;158193;158189;190036;122613;187827;173405;153053;129034;86612;131775;129349;126600;262875;84220;145006;164746;193586;102974;69919;76626;110340;126789;132580;142529;77768;186056;259054;126565;152249;133566;107807;144744;107898;142929;140918;173621;256501;105799;114431;138510;192540;92248;103240;179465;128597;86837;158088;157583;128375;114507;61601;74227;95894;88160;88273;120816;156673;100262;62745;69437;#VALUE!;#DIV/0!;117535;79929;131792;28576;35046;32597;26757;83462;116125;61135;128449
Lys;305197;178654;0045;188115;237383;246028;239586;269812;160618;123281;110834;232892;370565;330726;128416;487558;253983;176685;143860;111281;109669;134683;236753;188771;217887;245965;152120;195971;141805;199445;167592;165952;158533;214000;160823;161635;192902;134167;103988;100046;114522;34095;126083;222059;57573;124718;181761;252933;111376;50380;79883;113139;114055;125471;130249;106150;224960;364560;120194;161053;154400;78363;130561;104091;149667;131328;195152;306856;79942;98276;155548;193163;99255;148882;217184;161046;83813;142577;143412;108742;170917;58908;53206;97455;58293;47368;114221;197020;97218;65895;80324;#VALUE!;#DIV/0!;287760;0000;59041;67715;74370;30802;17011;66358;102632;56805;126075
Thr;17790;28259;36046;27132;35924;47274;32927;37544;83058;91021;67810;156501;121014;121664;86638;191168;48004;29451;27185;15639;34335;41991;33596;34359;55114;31286;24854;29994;20250;26677;32005;34653;29186;35048;27131;36424;28615;21496;26507;18558;28688;35996;25329;48531;18899;25904;31834;34153;14635;11762;15878;16759;10243;20773;12071;19567;40162;29651;21070;19871;23036;12035;22503;14657;15150;19150;22414;19802;13945;13942;21209;13703;16836;19656;23124;26206;13502;19827;16423;16701;20369;9248;10492;12822;12132;14026;17661;19944;12758;9802;14695;#VALUE!;#DIV/0!;20647;17260;25216;11735;10272;11183;5858;11131;18183;10925;18935
Asn;28706;46773;49530;34154;53570;72821;43165;48034;267882;279162;213924;407777;273651;296466;232135;538369;86149;49885;50704;27816;62591;73778;60799;61106;99620;41306;41900;50423;39848;44532;47503;61760;48799;66184;41572;53622;42686;36233;50824;32387;64214;75935;56067;86605;36516;51625;61950;58868;30178;24821;34917;33933;15688;39782;20570;33731;66243;34086;33804;26019;39729;17223;37828;27713;20389;40488;28301;25201;22665;25966;35761;17204;31331;34607;33489;32721;20216;23585;21244;30506;31933;19275;22133;24688;19098;24828;35435;24908;21501;16667;28035;#VALUE!;#DIV/0!;27921;32498;52179;24805;16126;19475;13156;14476;30232;23186;32395
Trp (aa);0396;0022;0031;0024;0027;0038;0037;0032;0038;0055;0034;0080;0058;0043;0045;0122;0043;0028;0023;0015;0042;0054;0033;0040;0061;0012;0013;0025;0011;0024;0028;0025;0027;0028;0019;0031;0020;0014;0028;0019;0027;0029;0023;0035;0023;0028;0031;0034;0019;0010;0012;0014;0005;0011;0008;0012;0034;0025;0019;0013;0021;0012;0017;0018;0013;0025;0017;0011;0014;0012;0021;0013;0012;0011;0014;0008;0007;0011;0008;0011;0020;0008;0011;0008;0011;0017;0023;0015;0012;0008;0012;#VALUE!;#DIV/0!;0014;0017;0017;0024;0016;0016;0010;0007;0016;0012;0016
Leu/Ile;28693;47246;48912;34540;52400;72389;43574;47207;265370;281961;212538;405090;274696;304834;229447;551271;88355;49326;50201;27587;61880;75123;60345;61521;98759;41199;41612;49350;39485;44185;46546;-0030;48383;64751;41227;52810;42431;35876;50447;33033;63439;75361;55483;84790;36111;51119;61555;57354;29986;24516;34603;34039;15635;40197;20237;33544;65855;34038;34072;25988;39470;17405;38848;27247;20685;40925;28211;25240;21842;25724;35021;17017;31151;34514;32815;32721;19436;23511;21237;29795;31863;18827;21308;24968;19079;24820;34166;24859;21733;16661;28035;#VALUE!;#DIV/0!;27861;32346;52179;24805;16126;19475;13156;14476;30563;23073;32327
Met;6284;1955;1633;0852;1585;3019;1354;1782;1739;1670;1041;3119;2042;2245;2138;5738;1217;1650;1457;1082;1623;0708;1963;0499;1329;1855;1095;1318;0854;1287;0595;0648;1579;1825;0553;1861;1322;1592;1347;0855;1734;1784;1472;2366;0718;1647;1826;1576;0729;0236;1033;0969;0830;1050;0790;0731;1823;1126;0596;1083;0692;0647;1061;0786;0643;0652;0657;0693;0692;0806;0602;0716;0813;0992;1090;1475;0281;0844;0949;0986;1331;0736;0991;0913;0865;0969;1384;1037;0866;0725;1101;#VALUE!;#DIV/0!;0208;0640;1370;0537;0325;0549;0351;0307;1085;0829;1073
GABA (y-aminobutyric acid);86585;147855;189406;131925;200754;234842;137668;241690;281853;266503;175602;445345;316163;308176;233723;619628;209494;175827;162879;91534;142562;134144;185402;161459;225340;285339;137870;194587;137063;163877;137623;157098;151812;220315;136894;182903;190327;143671;123378;75513;139265;155878;132949;273634;72558;123611;154427;192331;86009;65260;75184;110464;123135;128171;121171;91578;204270;266424;124153;155662;115430;73158;132636;70715;148800;133020;173436;263976;80600;113809;115673;173601;102305;111473;239987;167842;75532;152678;160129;101725;132655;60492;74199;104914;61863;60591;94465;129968;105784;74100;85552;#VALUE!;#DIV/0!;299926;71270;150975;58674;69177;61894;33061;77347;107044;46701;115203
Tyr (aa);10072;1928;2096;1382;1957;3341;1729;2139;17552;18055;13693;28491;21508;21214;15535;41638;4789;2079;2428;1185;2325;2527;3054;2342;4887;2065;1697;2103;1507;1725;1794;2408;2099;3227;1700;2202;1876;1394;2395;1377;2999;4170;2740;3952;1303;1775;2727;2793;1205;1014;1462;1241;0943;1718;1010;1602;3593;2026;1639;1439;1944;0728;1603;1115;1081;1610;1554;1622;1060;1050;1665;1138;1344;1468;2478;1622;0805;1229;1199;1066;1762;0723;0761;0937;0820;1189;1736;1409;0873;0670;1306;#VALUE!;#DIV/0!;0393;1089;1813;2262;1573;1669;0917;0553;1158;1150;1393
Leu;27452;12931;13776;9470;14907;20031;11863;13022;74133;82619;63319;113000;79430;87384;64521;151541;24123;14143;14068;8158;17553;20607;17152;17144;28144;11564;11715;14185;11226;12470;14078;18250;13793;18698;12203;15959;12107;10144;15240;9136;18163;21519;15932;24510;10367;14623;17583;16665;8615;7073;10545;9639;4648;11181;5877;9604;18848;9791;9620;7375;11128;5114;10805;7891;5886;11457;7999;7165;6869;7299;10214;4815;8748;9836;9603;9382;5804;6805;6379;8552;9067;5480;6330;7088;5514;7131;10205;7142;6229;4816;8125;#VALUE!;#DIV/0!;7521;9178;14808;7142;4651;5588;3767;4100;8652;6712;9304
Val;43425;15193;17607;15781;17895;22443;16473;21571;54240;54559;39866;85523;63630;66167;47009;136111;22570;15843;14889;8141;15198;19682;16853;17223;20310;15845;11854;12891;10617;12535;14267;13837;12000;14698;10335;13870;13273;9763;12019;7789;12654;16277;11708;22635;9381;12328;13956;15216;7107;5416;6761;7626;7009;9886;8036;8000;16322;17592;10667;10498;10360;6137;10321;8330;9153;9787;11544;15386;7008;7296;10018;9551;7725;9020;13866;11770;6898;10637;10125;8974;9243;5223;5208;6691;6440;7517;9366;10783;5538;4982;5770;#VALUE!;#DIV/0!;6888;8577;10297;7337;5898;5809;4538;5274;8818;5652;9532
Glu;17143;68699;79908;69048;86116;92373;64770;100516;18167;16112;10828;26190;25047;20769;12001;46159;77059;67410;61609;33517;47871;53481;71070;70223;62392;88060;51877;61080;50898;61450;46586;51065;55796;71104;45658;57493;62005;47447;42848;24713;52672;60344;47805;102750;23749;45159;50372;66572;30134;21385;25402;38041;35084;46127;39591;29855;78919;83422;48957;52167;42962;29993;46949;35707;48948;42853;59808;84793;30749;38150;42589;53880;33226;44944;58013;49448;26904;53471;52464;45408;43434;22180;25508;29716;28904;29806;38175;48210;25707;22363;24426;#VALUE!;#DIV/0!;58601;24937;43842;14712;16969;18331;11433;26328;39083;21364;43692
Ala;0000;6312;7384;7204;7308;9367;6935;9504;24178;22985;17002;40183;30990;31272;21368;63608;6177;6628;5272;2990;5121;5639;5502;5890;5017;6591;4460;5059;4211;5586;4151;5688;6355;6936;5693;8168;6666;5386;4698;3732;4409;5147;4111;10406;3222;4391;5641;5587;3043;1855;2395;3066;3424;4460;4113;2693;6568;8331;4200;4430;4171;3161;4188;3209;3737;4015;5077;6957;3201;3420;3940;4748;2937;3183;4688;4232;2565;4660;4465;4697;2962;1759;2053;2550;2834;2567;3521;4397;2365;1656;1564;#VALUE!;#DIV/0!;5437;2055;2938;1461;1463;1369;1027;3041;3759;1995;3947
Asp;0000;10382;12727;10112;14289;14103;8718;15119;7449;6848;5618;10879;8879;8872;6456;16659;13881;10163;8354;5821;5598;5162;10149;9082;10176;13355;8562;11119;7736;10529;10380;9827;8981;10983;8763;9518;11505;7954;6447;5183;6506;1722;7178;14548;3194;5938;9052;12349;5541;2883;4081;6137;6612;7116;6664;5788;11684;20184;6920;8368;8087;4173;7279;4524;7633;6597;10235;16952;4462;5106;8197;10711;5266;7477;11589;9336;4556;7407;7149;5470;8639;2924;3119;5758;2985;2852;5809;10102;4445;3520;3798;#VALUE!;#DIV/0!;15328;0000;5337;3464;3799;2326;1265;3405;5440;2952;7261
His;70088;13199;15191;12826;16460;20841;14567;20424;17306;17768;13053;28226;20528;22648;15908;45801;18423;12741;14046;7042;12400;14772;18856;17643;18835;18119;12012;11379;9937;13229;10261;11330;11743;16955;10582;12489;12794;8679;7613;5966;8467;63263;10203;22470;4362;8886;14827;19022;5929;4531;5207;7455;8527;10093;6649;7336;15311;21217;10026;10057;10156;4701;9471;6035;9552;6871;10495;17846;5247;6072;9707;10695;5798;8588;14920;11142;4962;7686;9822;6318;11232;3806;3939;5385;4456;3194;7044;12921;8335;4757;4208;#VALUE!;#DIV/0!;17812;13035;9248;5087;4674;5524;2537;4203;6820;3377;7870
