Sample ID;1D_11;1D_12;1D_13;1D_14;1W_10;1W_7;1W_8;1W_9;2D_19;2D_20;2D_21;2D_22;2W_15;2W_16;2W_17;2W_18;3D_27;3D_28;3D_29;3D_30;3W_23;3W_24;3W_25;3W_26;4D_35;4D_36;4D_37;4D_38;4W_31;4W_32;4W_33;4W_34;5D_43;5D_44;5D_45;5D_46;5W_39;5W_40;5W_41;5W_42;6D_51;6D_52;6D_53;6D_54;6W_47;6W_48;6W_49;6W_50;7D_59;7D_60;7D_61;7D_62;7W_55;7W_56;7W_57;7W_58;8D_67;8D_68;8D_69;8D_70;8W_63;8W_64;8W_65;8W_66;9D_75;9D_76;9D_77;9D_78;9W_71;9W_72;9W_73;9W_74;10D_83;10D_84;10D_85;10D_86;10W_79;10W_80;10W_81;10W_82;11D_91;11D_92;11D_93;11D_94;11W_87;11W_88;11W_89;11W_90;12D_100;12D_101;12D_102;12D_99;12W_95;12W_96;12W_97;12W_98;13D_107;13D_108;13D_109;13D_110;13W_103;13W_104;13W_105;13W_106
Treatment;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered
Sinapic acid;155571;147425;173700;266995;222353;;;227780;25821;33101;46491;49514;5002;42221;30136;57565;622187;587493;455690;295189;721915;717182;608282;777314;;966606;639333;1361563;1331263;1958186;1532779;752823;1006731;1788359;1411333;673533;1219190;943158;1691949;1076459;830688;924430;1051854;685450;927870;882941;832169;702862;885602;1601624;1026687;841214;704274;929503;1986408;1261620;770232;433610;563526;862704;518821;658602;635582;699451;379133;495500;853797;820305;856988;724278;629974;799389;935928;1603714;779872;1050173;1738963;1291485;855146;571569;1027429;983774;946651;1388601;713830;655502;366648;499482;876294;795760;607920;575171;691028;401046;674825;762687;1645821;1684847;610364;1843565;615037;620635;679136;562993
Sinapoyl glycoside ;6676;7319;5292;5336;7552;11436;10841;10383;;;;;;;;;3599;6908;3409;3495;7330;9922;6414;8157;;2520;4908;5229;5135;2752;2072;2901;2782;8633;4850;1959;4182;4629;8357;3093;3211;3159;1651;2337;3621;6883;2615;4004;1460;5963;4721;2798;4445;7101;7339;4409;4971;5004;6640;5854;7249;10802;3477;4631;1889;1641;6522;2843;2185;5269;3682;2455;5738;5831;3002;4103;5014;7961;3203;3981;5094;7160;4491;5724;5482;3775;2041;5656;8595;9603;3992;4592;3184;3847;4112;2926;5511;8452;2427;8459;2999;2590;1196;2669
Sinapoyl malate ;60863;11645;63365;63208;20180;;82603;21643;0724;2644;2972;;1908;1245;0600;1951;31655;25585;29246;36964;60525;11647;42642;9019;;28260;23869;35427;44512;45875;2404;38506;22147;37118;25686;23236;20965;32115;32658;29784;34963;27830;37854;21172;31883;21172;20109;35298;18256;31921;29968;29673;17892;19308;23588;32957;30470;16926;22470;25694;28599;24381;20192;23502;14208;34394;25329;31869;37694;34013;28635;28393;19463;14501;22931;25343;30666;40903;37939;28078;41397;15492;19245;28566;20015;32470;18250;27773;9944;24711;26885;11500;17016;15921;14616;29253;17611;16693;12956;14886;27202;28654;43560;26188
Spermidine ;26165;127968;90279;45534;110093;193644;173427;31625;226462;398538;594675;211816;519341;536958;400740;668295;67595;48055;54237;57215;174455;205543;134107;216474;;34653;68108;34146;124239;139681;280090;103709;603560;1000127;870962;510223;781222;608896;233181;686018;641470;816848;186426;875190;859357;970212;756779;838150;364170;775156;744884;680918;427969;740774;776706;891267;648703;639676;;587881;939884;1105315;784663;975297;271477;676572;821155;844297;774399;2844;632036;742876;676667;273447;487965;60080;1243869;1278840;918772;959803;929023;142236;154537;226212;691230;581617;395623;867828;108091;117054;521949;481884;567570;797662;903152;158551;152958;529791;146431;316109;867536;757522;667155;1032087
Spermine ;0326;0630;0532;0406;0329;0792;0719;0555;1428;1418;0874;1283;1087;1919;1769;1096;0657;0300;0257;0392;0398;0326;0138;0290;;0304;0234;0511;0531;0443;0886;0402;0181;0866;0387;0393;0334;0413;0662;0198;0651;0387;0317;0143;0446;0561;0227;0578;0251;0765;0604;0405;0526;0287;0282;0589;0747;0497;0714;0218;0590;0682;0258;0414;0316;0492;0358;0308;0673;0619;0115;0311;0274;1081;0410;0792;0283;0600;0267;0216;0421;0682;0396;0967;0466;0555;0107;0302;0720;0921;1055;0276;0494;0522;0470;0596;0606;0677;0829;1157;0647;0704;0342;0603
Tryptamine ;2712;4923;1199;1590;2376;2645;16288;1943;;2456;4807;5224;;;0179;;2575;1639;1029;;1721;0311;1980;0405;;;2437;;2115;9123;1150;3752;2408;0559;;;;1214;0356;;;;;3222;;1725;;;;2415;2616;1348;;0476;1068;;0106;;0747;2229;2400;;2397;;;1920;;0888;;;;;6338;3054;0839;3530;;5133;0251;0127;4301;1070;1715;;0667;;2035;;1552;;4500;;3737;;;1917;1044;;1658;;2802;2849;2795;2857
Tryptophan ;120066;148192;198161;112007;143015;142668;166341;177654;609620;768427;777498;658272;722478;689799;668451;681420;170384;99118;87182;115004;157093;429762;157280;218167;;132189;115423;121496;167886;174028;167714;133522;106282;180655;183832;128504;124399;220429;131876;181215;128733;84006;148210;184092;143953;113631;146186;133731;113132;156499;147773;126846;207383;135618;246982;254657;129878;116911;161601;121922;165740;201202;143984;102092;44308;119508;126674;98763;126304;138363;207438;89712;66165;105333;90043;127765;299605;167463;97584;119542;194444;117398;114505;150627;109276;119900;60927;82629;192132;110972;133335;131251;130781;97330;101493;96350;204295;150365;181320;117845;96698;103055;102652;90002
Tyramine ;16727;56434;44004;29696;35488;49726;44391;23076;42788;41468;91605;30938;46253;76128;68213;42880;13646;22406;24463;12518;49939;53683;29282;50951;;34964;23203;37809;43173;44056;45234;35819;30373;63104;41037;22677;39891;48860;63784;62702;38467;25178;36171;44715;47336;51875;49749;41165;17926;81174;31874;34799;29653;43862;39274;59896;31808;23178;50957;61523;43168;48510;37064;43992;21962;20512;38073;57710;31510;44654;33334;32904;54774;96302;35751;36642;67417;69002;51333;53132;73558;42769;45358;71977;41230;23542;18301;45453;27980;28277;38160;39506;27773;45795;41194;44752;45974;68981;36646;76135;33019;29829;26403;56261
Tyrosine ;1861;2120;2804;2493;2424;1945;1803;1881;30002;31112;34537;36147;31908;35426;28752;28432;3443;1048;1360;2625;2585;3768;3296;3318;;2166;1695;2251;4260;4479;3342;2439;4268;2987;3607;2378;1977;3474;2885;3344;2579;1101;2550;2785;1789;1918;2945;2219;1761;2942;2226;3721;3300;1685;3619;1703;1319;1440;1932;0831;2653;2097;1732;0799;0952;2283;0795;1046;2275;1896;2576;1307;2785;0934;1550;0866;3242;1302;1346;1657;1975;1176;1181;1696;0896;2119;0586;0259;3066;2171;1404;1549;1839;0967;0514;0698;2098;1953;2728;1719;1391;2639;1506;1357
Galactinol ;113121;151172;161399;149314;105699;107960;128118;138471;36313;38803;45647;65685;62838;54027;40207;41481;101351;70910;82025;129303;138250;90938;81730;126020;270090;66933;95925;96981;110494;59894;121177;76964;93179;74384;117256;140388;93923;65326;91453;74278;195364;140987;95728;98436;109698;75958;131217;104825;121047;133078;175251;128823;115825;102255;95478;160830;113873;145694;119045;179760;78385;92679;106558;1280397;91399;227532;104023;107328;94829;145775;150156;129261;412142;296362;347033;247038;134421;143583;109595;95880;304008;263001;226712;298764;104531;139019;113728;109290;257698;201493;250948;233210;59649;92924;105733;41431;1053059;1155122;950491;162996;107252;205345;122751;95608
