"ID_REF";	"GSM131066";	"GSM131067";	"GSM131068";	"GSM131069";	"GSM131070";	"GSM131071";	"GSM131072";	"GSM131073";	"GSM131074";	"GSM131075";	"GSM131076";	"GSM131077";	"GSM131078"
"244921_s_at";	9.94403228759766E+001;	7.61225585937500E+001;	9.09121780395508E+001;	6.30737609863281E+001;	8.67909011840820E+001;	1.10747268676758E+002;	8.38389511108398E+001;	6.24197196960449E+001;	6.72086563110352E+001;	6.35633850097656E+001;	6.66516799926758E+001;	9.58463058471680E+001;	6.05957756042480E+001
"244922_s_at";	1.55350036621094E+001;	1.44357166290283E+001;	1.54171447753906E+001;	9.48525142669678E+000;	1.17788877487183E+001;	1.65117282867432E+001;	2.43808574676514E+001;	1.56833267211914E+001;	1.47372531890869E+001;	7.34082174301147E+000;	1.64953022003174E+001;	1.88838520050049E+001;	1.79122009277344E+001
"244923_s_at";	6.71329689025879E+000;	3.74730229377747E+000;	5.08150768280029E+000;	3.30270028114319E+000;	3.38234400749207E+000;	7.53260231018066E+000;	7.42519712448120E+000;	4.19562244415283E+000;	2.33962392807007E+000;	3.88957548141479E+000;	7.39834642410278E+000;	4.19564580917358E+000;	4.44387960433960E+000
"244924_at";	2.80344524383545E+001;	3.99563865661621E+001;	3.27532157897949E+001;	2.75094070434570E+001;	3.75759925842285E+001;	3.92826614379883E+001;	3.77563629150391E+001;	3.61107330322266E+001;	2.84404640197754E+001;	2.69068164825439E+001;	1.63336944580078E+001;	2.46891880035400E+001;	3.22306747436523E+001
"244925_at";	7.01743078231812E+000;	1.12727003097534E+001;	4.65379524230957E+000;	1.27446308135986E+001;	8.87399005889893E+000;	9.61352634429932E+000;	8.18141841888428E+000;	1.04996232986450E+001;	1.01173915863037E+001;	7.71964406967163E+000;	9.90122222900391E+000;	1.00395898818970E+001;	6.01794385910034E+000
"244926_s_at";	2.12439060211182E+000;	1.77167224884033E+000;	2.36572551727295E+000;	3.27779817581177E+000;	2.37349963188171E+000;	2.43461251258850E+000;	2.33356308937073E+000;	2.02165102958679E+000;	2.77615189552307E+000;	2.97509527206421E+000;	3.57751822471619E+000;	2.80093264579773E+000;	2.38368630409241E+000
"244927_at";	1.73614807128906E+001;	4.02395515441895E+001;	4.98611259460449E+001;	2.89804458618164E+001;	3.48478546142578E+001;	4.10134582519531E+001;	3.83694992065430E+001;	4.03820075988770E+001;	3.39561462402344E+001;	4.37121925354004E+001;	3.32181892395020E+001;	2.54026412963867E+001;	3.39406661987305E+001
"244928_s_at";	6.91851425170898E+001;	8.57086791992188E+001;	8.41670150756836E+001;	7.39874649047852E+001;	7.08873519897461E+001;	8.39349975585938E+001;	6.97691955566406E+001;	7.28832778930664E+001;	7.66210479736328E+001;	5.90069656372070E+001;	6.76701049804688E+001;	8.69803237915039E+001;	5.31781120300293E+001
"244929_at";	9.24185867309570E+001;	8.44923553466797E+001;	1.17431510925293E+002;	7.08768005371094E+001;	8.16336517333984E+001;	9.75342330932617E+001;	9.19512634277344E+001;	8.54893798828125E+001;	8.65052719116211E+001;	7.23050155639648E+001;	7.45971527099609E+001;	1.00503723144531E+002;	9.64295730590820E+001
"244930_at";	8.21380043029785E+000;	8.26566410064697E+000;	3.39789795875549E+000;	5.89995288848877E+000;	1.12937669754028E+001;	8.23064327239990E+000;	5.34929895401001E+000;	1.36920576095581E+001;	5.85678291320801E+000;	4.11313486099243E+000;	1.03229913711548E+001;	5.01048421859741E+000;	1.10750436782837E+001
"244931_at";	6.90508651733398E+000;	2.99077534675598E+000;	2.29501018524170E+001;	9.30877208709717E-001;	2.73942208290100E+000;	1.12795858383179E+001;	1.42268505096436E+001;	2.10661292076111E+000;	4.19712209701538E+000;	1.02346811294556E+001;	5.97138106822968E-001;	1.23661527633667E+001;	2.65426564216614E+000
"244932_at";	6.00860473632813E+002;	3.23324584960938E+002;	5.42302124023438E+002;	3.86289123535156E+002;	2.93141479492188E+002;	5.39130798339844E+002;	3.76424133300781E+002;	3.70552673339844E+002;	3.49590576171875E+002;	2.89050720214844E+002;	3.28011474609375E+002;	4.67702697753906E+002;	3.70666839599609E+002
"244933_at";	5.24013244628906E+002;	5.18437133789063E+002;	4.09544647216797E+002;	3.92175964355469E+002;	2.64728729248047E+002;	3.81499847412109E+002;	2.35934265136719E+002;	2.76547821044922E+002;	3.49346160888672E+002;	3.73398468017578E+002;	2.77250244140625E+002;	4.59808074951172E+002;	3.25538024902344E+002
"244934_at";	2.15285659790039E+002;	1.45660308837891E+002;	1.30596908569336E+002;	1.36729293823242E+002;	1.37022964477539E+002;	1.54393966674805E+002;	1.34251113891602E+002;	1.30272399902344E+002;	1.30919403076172E+002;	1.38646652221680E+002;	1.03466453552246E+002;	1.35921249389648E+002;	2.23361206054688E+002
"244935_at";	1.71076489257813E+003;	1.67859680175781E+003;	1.91331005859375E+003;	2.16992309570313E+003;	2.28307397460938E+003;	2.27745190429688E+003;	2.15376806640625E+003;	2.29882666015625E+003;	2.01981127929688E+003;	2.06711254882813E+003;	2.21826440429688E+003;	2.99932080078125E+003;	1.99509533691406E+003
"244936_at";	9.57121398925781E+002;	9.19402465820313E+002;	1.06494409179688E+003;	9.37533447265625E+002;	1.01036248779297E+003;	1.04121179199219E+003;	9.82401733398438E+002;	1.01560968017578E+003;	1.02176489257813E+003;	9.32964355468750E+002;	9.01498046875000E+002;	1.07069104003906E+003;	8.77184814453125E+002
"244937_at";	1.20105155944824E+002;	7.26977691650391E+001;	1.55173156738281E+002;	1.03418518066406E+002;	1.42616012573242E+002;	1.56735855102539E+002;	8.22545852661133E+001;	1.00268821716309E+002;	9.44074707031250E+001;	9.19971389770508E+001;	1.07174514770508E+002;	1.66926513671875E+002;	6.09873580932617E+001
"244938_at";	9.11985168457031E+001;	4.85619468688965E+001;	1.03078033447266E+002;	8.28108978271484E+001;	7.49921646118164E+001;	1.21961387634277E+002;	5.67731513977051E+001;	3.71483078002930E+001;	1.12805770874023E+002;	6.55580825805664E+001;	5.43127555847168E+001;	7.04595870971680E+001;	4.41958580017090E+001
"244939_at";	1.14310012817383E+002;	4.62453956604004E+001;	1.53638793945313E+002;	3.43774948120117E+001;	9.28254623413086E+001;	1.16316795349121E+002;	6.73086700439453E+001;	5.96243743896484E+001;	7.05117340087891E+001;	5.30065155029297E+001;	5.79457778930664E+001;	8.25865173339844E+001;	4.99981231689453E+001
"244940_at";	5.49844299316406E+002;	2.11806808471680E+002;	7.12154846191406E+002;	1.80093246459961E+002;	4.45159149169922E+002;	5.90117248535156E+002;	3.32168273925781E+002;	2.25791076660156E+002;	3.58880920410156E+002;	2.64270233154297E+002;	2.64100677490234E+002;	3.83382049560547E+002;	2.06957305908203E+002
"244941_at";	2.61462326049805E+001;	4.02461624145508E+001;	3.66624908447266E+001;	4.25255012512207E+001;	3.72136802673340E+001;	3.03021564483643E+001;	3.02428226470947E+001;	4.17354087829590E+001;	2.40197486877441E+001;	3.58351440429688E+001;	3.83238563537598E+001;	4.13910522460938E+001;	3.67963218688965E+001
"244942_at";	2.27751564979553E+000;	2.38607645034790E+000;	6.97064638137817E+000;	2.75412869453430E+000;	2.08334231376648E+000;	2.89638304710388E+000;	4.45233964920044E+000;	3.85332489013672E+000;	2.43170356750488E+000;	2.07459235191345E+000;	2.81019592285156E+000;	2.90529632568359E+000;	1.38580727577209E+000
"244943_at";	3.44692764282227E+001;	2.78487606048584E+001;	3.41516304016113E+001;	2.89389247894287E+001;	2.56669521331787E+001;	3.47168617248535E+001;	2.70492610931396E+001;	1.67912216186523E+001;	3.15646915435791E+001;	2.19878234863281E+001;	3.12388706207275E+001;	2.53651962280273E+001;	2.78191852569580E+001
"244944_s_at";	1.08398948669434E+002;	7.37335662841797E+001;	1.00990768432617E+002;	9.37679443359375E+001;	9.16376266479492E+001;	9.98687286376953E+001;	8.35921096801758E+001;	8.22888183593750E+001;	7.97171707153320E+001;	6.61947250366211E+001;	6.78455886840820E+001;	1.05492218017578E+002;	9.16995010375977E+001
"244945_at";	2.90195693969727E+001;	3.94667510986328E+001;	3.71022605895996E+001;	3.54825134277344E+001;	3.08334541320801E+001;	4.78498954772949E+001;	3.32387504577637E+001;	4.73534660339355E+001;	2.98691368103027E+001;	3.76662445068359E+001;	5.64307937622070E+001;	4.76397705078125E+001;	4.72219085693359E+001
"244946_at";	2.20024261474609E+001;	2.06764106750488E+001;	2.78453426361084E+001;	2.93501987457275E+001;	2.91536979675293E+001;	3.24096412658691E+001;	2.59055099487305E+001;	3.57935562133789E+001;	2.35475978851318E+001;	3.23856925964355E+001;	2.66409587860107E+001;	3.00589466094971E+001;	3.69538269042969E+001
"244947_at";	1.50603132247925E+001;	1.67219734191895E+001;	1.56499052047729E+001;	1.38519563674927E+001;	1.68383255004883E+001;	1.92837524414063E+001;	1.83408546447754E+001;	2.37695121765137E+001;	1.67067508697510E+001;	1.49512414932251E+001;	2.10068416595459E+001;	2.16412525177002E+001;	1.78844966888428E+001
"244948_at";	1.97113525867462E+000;	1.11862401962280E+001;	9.61140453815460E-001;	2.01126551628113E+000;	2.09400391578674E+000;	3.00881242752075E+000;	1.83643779754639E+001;	1.99597930908203E+001;	5.34248065948486E+000;	2.26019906997681E+000;	7.83210706710815E+000;	7.25325584411621E+000;	3.68955039978027E+000
"244949_at";	1.14031162261963E+001;	1.67713375091553E+001;	8.40717697143555E+000;	7.70986080169678E+000;	7.84336805343628E+000;	1.36918058395386E+001;	9.67110729217529E+000;	8.58133316040039E+000;	7.85201025009155E+000;	1.14693241119385E+001;	1.57112140655518E+001;	6.82516860961914E+000;	1.15650863647461E+001
"244950_at";	1.79670829772949E+001;	1.34243707656860E+001;	1.66573104858398E+001;	1.33146915435791E+001;	1.14342737197876E+001;	1.66470184326172E+001;	1.84135055541992E+001;	1.96362380981445E+001;	1.75879459381104E+001;	2.21413707733154E+001;	2.43223991394043E+001;	3.62247848510742E+001;	1.69729881286621E+001
"244951_s_at";	6.79496231079102E+001;	8.27839126586914E+001;	7.45847854614258E+001;	8.53812942504883E+001;	6.72040252685547E+001;	7.37703857421875E+001;	6.23643150329590E+001;	7.72542495727539E+001;	6.28127136230469E+001;	6.15041961669922E+001;	8.03676528930664E+001;	7.98129959106445E+001;	6.46871566772461E+001
"244952_at";	1.28775987625122E+001;	1.30384473800659E+001;	1.60443820953369E+001;	2.08052215576172E+001;	1.39455518722534E+001;	1.57775430679321E+001;	1.40515813827515E+001;	1.22062482833862E+001;	1.54070816040039E+001;	1.08929071426392E+001;	1.95247764587402E+001;	1.43469972610474E+001;	1.63269271850586E+001
"244953_s_at";	1.76947975158691E+001;	2.77043304443359E+001;	2.49773025512695E+001;	2.62978782653809E+001;	2.50919628143311E+001;	2.90300865173340E+001;	2.12043743133545E+001;	4.07753524780273E+001;	1.24201536178589E+001;	2.80515174865723E+001;	2.13806190490723E+001;	2.57661476135254E+001;	1.88509197235107E+001
"244954_s_at";	3.23062986135483E-001;	3.76011222600937E-001;	1.68001204729080E-001;	8.68862807750702E-001;	6.02448284626007E-001;	1.09263849258423E+000;	2.77396500110626E-001;	7.49182522296906E-001;	2.19911724328995E-001;	6.85937464237213E-001;	3.56518059968948E-001;	5.07260656356812E+000;	2.10651040077209E-001
"244955_at";	6.35550069808960E+000;	1.28159999847412E+001;	1.67390394210815E+000;	2.45073413848877E+000;	9.45428562164307E+000;	5.02565336227417E+000;	2.75129175186157E+000;	1.29952869415283E+001;	3.26592493057251E+000;	2.98784542083740E+000;	9.78437042236328E+000;	2.63823103904724E+000;	1.02188444137573E+001
"244956_s_at";	2.60101337432861E+001;	2.91289081573486E+001;	2.07833461761475E+001;	2.88205718994141E+001;	2.22857761383057E+001;	2.36519489288330E+001;	2.54918994903564E+001;	2.56044063568115E+001;	2.67122726440430E+001;	2.57309150695801E+001;	3.08872127532959E+001;	2.46136283874512E+001;	2.29585361480713E+001
"244957_at";	1.92673511505127E+001;	2.18910160064697E+001;	1.85404109954834E+001;	1.54762439727783E+001;	1.18411197662354E+001;	2.01391944885254E+001;	2.60538959503174E+001;	2.70484619140625E+001;	1.92869453430176E+001;	1.71672058105469E+001;	1.78422832489014E+001;	1.40163373947144E+001;	1.64565181732178E+001
"244958_at";	1.63909378051758E+001;	2.18625049591064E+001;	1.10885858535767E+001;	2.36455593109131E+001;	1.35914430618286E+001;	8.86933040618896E+000;	1.91732749938965E+001;	1.66781482696533E+001;	2.09240360260010E+001;	1.61372165679932E+001;	1.54460716247559E+001;	1.53638715744019E+001;	2.01364822387695E+001
"244959_s_at";	3.73962669372559E+001;	3.60593986511230E+001;	3.71213607788086E+001;	3.54559020996094E+001;	3.24143371582031E+001;	3.79671516418457E+001;	2.21260738372803E+001;	2.63167362213135E+001;	3.14210281372070E+001;	3.05623741149902E+001;	3.63929176330566E+001;	3.37632827758789E+001;	2.95044345855713E+001
"244960_at";	6.66971374511719E+002;	6.36327270507813E+002;	7.20095336914063E+002;	5.66565490722656E+002;	6.77020996093750E+002;	6.80601440429688E+002;	7.13147521972656E+002;	6.77031799316406E+002;	6.18040344238281E+002;	7.38297973632813E+002;	7.23054443359375E+002;	8.22728210449219E+002;	7.69981567382813E+002
"244961_at";	1.56429663085938E+003;	1.80634289550781E+003;	2.12539868164063E+003;	1.70974304199219E+003;	1.93283227539063E+003;	2.14259667968750E+003;	2.05587109375000E+003;	1.79877294921875E+003;	1.91980932617188E+003;	1.77004833984375E+003;	2.11465380859375E+003;	2.47755810546875E+003;	1.83018896484375E+003
"244962_at";	1.27788195800781E+003;	1.02981604003906E+003;	1.53895031738281E+003;	1.01681286621094E+003;	1.07857861328125E+003;	1.40198168945313E+003;	1.27900683593750E+003;	1.17584631347656E+003;	1.27375427246094E+003;	1.02907336425781E+003;	1.27228576660156E+003;	1.48905798339844E+003;	1.03559667968750E+003
